Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Latitude,Longitude,Elevation,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km,Region,Subregion,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5
341003,"San Luis, Isla",Tuff cone,Unknown,Mexico,29.97,-114.4,180,0,1,606,18532,México and Central America,Mexico,Rift zone / Continental crust (>25 km),Evidence Credible,Rhyolite,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, ,Trachyandesite / Basaltic Trachyandesite, , , , 
341110,San Martin,Volcanic field,1796,Mexico,18.57,-95.2,1650,280,3581,259640,1645811,México and Central America,Mexico,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , , , , , , 
343100,San Miguel,Stratovolcano,2023,El Salvador,13.434,-88.269,2130,1232,63007,796482,3633885,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
273060,San Pablo Volcanic Field,Volcanic field,1350,Philippines,14.12,121.3,1090,1349742,1349742,3039334,24626975,Philippines and SE Asia,Luzon,Subduction zone / Continental crust (>25 km),Eruption Dated,Trachyandesite / Basaltic Trachyandesite,Rhyolite,Trachyte / Trachydacite,Andesite / Basaltic Andesite, , , , , , 
357062,San Pedro-Pellado,Stratovolcano(es),Unknown,Chile,-35.989,-70.849,3621,12,208,4155,500494,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , 
343050,San Salvador,Stratovolcano,1917,El Salvador,13.734,-89.294,1893,29514,800780,2857563,6366833,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , 
343070,San Vicente,Stratovolcano,Unknown,El Salvador,13.595,-88.837,2182,7505,103854,864425,6349950,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , ,Rhyolite, , , , 
283002,Sanbesan,Stratovolcano,650,Japan,35.141,132.622,1126,1300,6795,171742,3597290,"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite, , , , , , , , 
322040,Sand Mountain Field,Volcanic field,-950,United States,44.38,-121.93,1664,89,89,1574,519291,Canada and Western USA,USA (Oregon),Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
341024,Sanganguey,Stratovolcano,Unknown,Mexico,21.45,-104.73,2340,101,7622,403964,993475,México and Central America,Mexico,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , , , 
352090,Sangay,Stratovolcano,2024,Ecuador,-2.005,-78.341,5286,231,1675,15130,1355275,South America,Ecuador,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , 
264050,Sangeang Api,Complex,2022,Indonesia,-8.2,119.07,1912,204,1155,39301,809132,Indonesia,Lesser Sunda Islands,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , , , , , , 
264060,"Sano, Wai",Caldera,Unknown,Indonesia,-8.7345,120.0074,1319,127347,127347,242184,831863,Indonesia,Lesser Sunda Islands,Subduction zone / Continental crust (>25 km),Evidence Credible,Dacite, , , , , , , , , 
343020,Santa Ana,Stratovolcano,2005,El Salvador,13.853,-89.63,2381,489,21653,1240131,6486880,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Dacite,Rhyolite, , , 
353091,Santa Cruz,Shield,Unknown,Ecuador,-0.62,-90.33,864,8529,8529,8800,18434,South America,Galapagos Islands,Rift zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , 
351021,Santa Isabel,Shield,-850,Colombia,4.818,-75.365,4944,4793,12226,302952,4137147,South America,Colombia,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite, , , , , , , , , 
224004,Santa Isabel,Shield,1923,Equatorial Guinea,3.588,8.762,2999,95977,95977,117500,506900,Africa and Red Sea,Africa (western),Intraplate / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , 
342030,Santa Maria,Stratovolcano,2024,Guatemala,14.757,-91.552,3745,8675,119462,1259600,6197420,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , 
353090,Santiago,Shield,1906,Ecuador,-0.22,-90.77,920,74,74,104,12001,South America,Galapagos Islands,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , ,Andesite / Basaltic Andesite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, 
342150,"Santiago, Cerro",Volcanic field,Unknown,Guatemala,14.33,-89.87,1192,226325,226325,405083,8210264,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , 
212040,Santorini,Shield(s),1950,Greece,36.404,25.396,367,5176,12266,12336,67468,Mediterranean and Western Asia,Greece,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachyte / Trachydacite, ,Rhyolite, , , , 
382030,Sao Jorge,Fissure vent,1902,Portugal,38.65,-28.08,1053,2088,4689,16290,99442,Atlantic Ocean,Azores,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Trachyte / Trachydacite, , , , 
354002,Sara Sara,Stratovolcano,Unknown,Peru,-15.33,-73.45,5522,53,751,18707,127762,South America,Peru,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , , , , , , 
284192,Sarigan,Stratovolcano,Unknown,United States,16.708,145.78,538,0,0,0,0,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
290240,Sarychev Peak,Stratovolcano,2021,Russia,48.092,153.2,1496,17,143,143,148,Kuril Islands,Kuril Islands,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , 
290080,Sashiusudake [Baransky],Stratovolcano,1951,Japan - administered by Russia,45.1,148.019,1125,0,0,4061,6487,Kuril Islands,Kuril Islands,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , 
