Volcano Number,Eruption Number,Volcano Name,Area of Activity,VEI,Start Date,days,End Date,Eruption Category,Evidence Method (dating),Latitude,Longitude
344080,10972,"Pilas, Las",El Hoyo,1,1952-10-23,54,1952-12-16,Confirmed Eruption,Observations: Reported,12.495,-86.688
212040,13889,Santorini,Nea Kameni (Naftilos dome),2,1928-01-23,54,1928-03-17,Confirmed Eruption,Observations: Reported,36.404,25.396
345020,11095,Rincon de la Vieja,,2,1922-04-11,54,1922-06-04,Confirmed Eruption,Observations: Reported,10.83,-85.324
263180,15737,Slamet,,2,1875-11-02,54,1875-12-26,Confirmed Eruption,Observations: Reported,-7.242,109.208
263140,15718,Galunggung,,5,1822-10-08,54,1822-12-01,Confirmed Eruption,Observations: Reported,-7.25,108.058
342110,10741,Pacaya,,2,1651-02-18,54,1651-04-13,Confirmed Eruption,Observations: Reported,14.382,-90.601
344040,22277,Telica,,1,2018-06-21,55,2018-08-15,Confirmed Eruption,Observations: Reported,12.606,-86.84
345020,20813,Rincon de la Vieja,Crater lake,1,2012-02-19,55,2012-04-14,Confirmed Eruption,Observations: Reported,10.83,-85.324
311360,20091,Shishaldin,,2,1993-09-04,55,1993-10-29,Confirmed Eruption,Observations: Reported,54.756,-163.97
342090,10727,Fuego,,4,1974-10-10,55,1974-12-04,Confirmed Eruption,Observations: Reported,14.473,-90.88
257020,15218,Gaua,Mt. Garat (upper SE flank),2,1963-09-15,55,1963-11-09,Confirmed Eruption,Observations: Reported,-14.281,167.514
224010,14131,Cameroon,NE flank (3000-1500 m),2,1959-01-23,55,1959-03-19,Confirmed Eruption,Observations: Reported,4.203,9.17
233010,14198,Karthala,Cheminee Nord (Changomeni),2,1948-04-22,55,1948-06-16,Confirmed Eruption,Observations: Reported,-11.75,43.38
283180,17928,Azumayama,Issaikyo (west of Oana),1,1893-05-19,55,1893-07-13,Confirmed Eruption,Observations: Reported,37.735,140.244
267020,16499,Karangetang,Crater III,2,1886-04-25,55,1886-06-19,Confirmed Eruption,Observations: Reported,2.781,125.407
263130,15701,Guntur,,2,1828-05-14,55,1828-07-08,Confirmed Eruption,Observations: Reported,-7.143,107.841
383010,13056,La Palma,El Charco,2,1712-10-09,55,1712-12-03,Confirmed Eruption,Observations: Reported,28.57,-17.83
233020,22343,"Fournaise, Piton de la","E flank of Dolomieu cone between the rim and 2,000 m elevation",NA,2020-02-10,56,2020-04-06,Confirmed Eruption,Observations: Seismicity,-21.244,55.708
300260,19478,Klyuchevskoy,,2,2000-07-28,56,2000-09-22,Confirmed Eruption,Observations: Reported,56.056,160.642
234011,14396,McDonald Islands,Northern part of McDonald Island,1,1996-12-16,56,1997-02-10,Confirmed Eruption,Observations: Reported,-53.03,72.6
255060,15170,Kavachi,,2,1982-04-07,56,1982-06-02,Confirmed Eruption,Observations: Reported,-8.991,157.979
264140,16263,Kelimutu,Tiwu Nua Muri,1,1968-06-03,56,1968-07-29,Confirmed Eruption,Observations: Reported,-8.77,121.82
233020,14361,"Fournaise, Piton de la",East flank (1930 m),2,1964-12-21,56,1965-02-15,Confirmed Eruption,Observations: Reported,-21.244,55.708
282110,17317,Asosan,Naka-dake,2,1946-04-29,56,1946-06-24,Confirmed Eruption,Observations: Reported,32.884,131.104
211060,13768,Etna,Central Crater,1,1910-02-21,56,1910-04-18,Confirmed Eruption,Observations: Reported,37.748,14.999
268060,16629,Gamalama,,2,1839-01-29,56,1839-03-26,Confirmed Eruption,Observations: Reported,0.8,127.33
264030,22149,Rinjani,Barujari Crater,2,2016-08-01,57,2016-09-27,Confirmed Eruption,Observations: Reported,-8.42,116.47
233020,14392,"Fournaise, Piton de la","Fissure near Château Fort crater, 1.5 km SE of Dolomieu crater rim",NA,2010-10-14,57,2010-12-10,Confirmed Eruption,Observations: Reported,-21.244,55.708
352020,11499,Guagua Pichincha,,1,2002-10-11,57,2002-12-07,Confirmed Eruption,Observations: Reported,-0.171,-78.598
284131,18427,Minami-Hiyoshi,,NA,1978-01-26,57,1978-03-24,Uncertain Eruption,,23.5,141.935
264010,16200,Batur,Batur III,2,1972-01-19,57,1972-03-16,Confirmed Eruption,Observations: Reported,-8.242,115.375
284010,18229,Izu-Oshima,Mihara-yama,1,1958-04-17,57,1958-06-13,Confirmed Eruption,Observations: Reported,34.724,139.394
264050,16242,Sangeang Api,Doro Api,3,1953-03-19,57,1953-05-15,Confirmed Eruption,Observations: Reported,-8.2,119.07
233020,14339,"Fournaise, Piton de la","SE of Dolomieu, lower Grandes Pentes",2,1943-03-30,57,1943-05-26,Confirmed Eruption,Observations: Reported,-21.244,55.708
222160,14034,Meru,Ash Cone,2,1910-10-26,57,1910-12-22,Confirmed Eruption,Observations: Reported,-3.244,36.75
353050,22279,"Negra, Sierra",Summit crater and NNW flank,2,2018-06-26,58,2018-08-23,Confirmed Eruption,Observations: Reported,-0.83,-91.17
312070,20176,Veniaminof,Western intracaldera cone,1,2005-09-07,58,2005-11-04,Confirmed Eruption,Observations: Reported,56.17,-159.38
273030,16812,Mayon,,2,2003-03-17,58,2003-05-14,Confirmed Eruption,Observations: Reported,13.257,123.685
262000,15625,Krakatau,Anak Krakatau,1,2001-07-21,58,2001-09-17,Confirmed Eruption,Observations: Reported,-6.102,105.423
223020,14081,Nyamulagira,North and SSE  flanks,2,2001-02-06,58,2001-04-05,Confirmed Eruption,Observations: Reported,-1.408,29.2
351080,11375,Galeras,,1,2000-03-21,58,2000-05-18,Confirmed Eruption,Observations: Reported,1.22,-77.37
252120,15061,Ulawun,,1,1994-04-19,58,1994-06-16,Confirmed Eruption,Observations: Reported,-5.05,151.33
222120,14020,"Lengai, Ol Doinyo",North Crater,3,1967-07-08,58,1967-09-04,Confirmed Eruption,Observations: Reported,-2.764,35.914
300250,19343,Bezymianny,,3,1961-10-18,58,1961-12-15,Confirmed Eruption,Observations: Reported,55.972,160.595
261170,15511,Kerinci,,2,1938-01-19,58,1938-03-18,Confirmed Eruption,Observations: Reported,-1.697,101.264
283110,17784,Asamayama,,2,1929-09-18,58,1929-11-15,Confirmed Eruption,Observations: Reported,36.406,138.523
233020,14283,"Fournaise, Piton de la",Dolomieu and l'Enclos,2,1860-01-22,58,1860-03-20,Confirmed Eruption,Observations: Reported,-21.244,55.708
342090,10705,Fuego,,2,1856-01-09,58,1856-03-07,Confirmed Eruption,Observations: Reported,14.473,-90.88
265090,16412,Banda Api,"Summit, south and NNW flanks",2,1820-06-11,58,1820-08-08,Confirmed Eruption,Observations: Reported,-4.523,129.881
211060,13690,Etna,"NNE (2000 m, 1800 m), Mt. Nero",2,1646-11-20,58,1647-01-17,Confirmed Eruption,Observations: Reported,37.748,14.999
312030,20144,Pavlof,,1,1981-03-30,59,1981-05-28,Confirmed Eruption,Observations: Reported,55.417,-161.894
233020,14357,"Fournaise, Piton de la","Bory, south flank (2030 m)",2,1960-01-11,59,1960-03-10,Confirmed Eruption,Observations: Reported,-21.244,55.708
283070,17518,Yakedake,Inkyo-ko,2,1930-03-13,59,1930-05-11,Confirmed Eruption,Observations: Reported,36.227,137.587
233020,14311,"Fournaise, Piton de la",NE flank (above Piton de Crac),2,1904-08-19,59,1904-10-17,Confirmed Eruption,Observations: Reported,-21.244,55.708
