Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Total Deaths,Total Injuries,Total Houses Destroyed
1895,6,17,Karkar,New Guinea-NE of,Papua New Guinea,-4.647,145.976,1839,Stratovolcano,2,21,,
1895,10,16,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,2,4,,
1896,3,15,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,2,1,1,
1897,5,23,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,350,,
1899,11,13,Dona Juana,Colombia,Colombia,1.5,-76.936,4137,Stratovolcano,4,55,,
1899,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,2,2,,
1900,1,22,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,25,,
1900,2,16,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,2,2,3,
1900,7,17,Adatarayama,Honshu-Japan,Japan,37.647,140.281,1728,Stratovolcano,2,72,10,
1902,5,5,Pelee,W Indies,Martinique,14.809,-61.166,1372,Stratovolcano,4,23,,
1902,5,7,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,4,1680,,
1902,5,8,Pelee,W Indies,Martinique,14.809,-61.166,1372,Stratovolcano,4,28000,,
1902,8,7,Izu-Torishima,Izu Is-Japan,Japan,30.484,140.303,394,Stratovolcano,3,125,,
1902,8,30,Pelee,W Indies,Martinique,14.809,-61.166,1372,Stratovolcano,4,1500,,
1902,10,25,Santa Maria,Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,6,10000,,
1902,12,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,16,45,
1903,8,30,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,1,4,,
1903,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,,17,,
1904,2,25,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,2,1,,
1905,3,10,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,2,1,1,
1906,4,4,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,350,300,
1907,9,28,Lewotobi,Lesser Sunda Is,Indonesia,-8.542,122.775,1703,Stratovolcano,2,1,,
1909,9,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,221,,
1910,3,20,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,,1,,
1910,7,25,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,2,1,,
1911,1,30,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,3,1335,199,543
1911,5,8,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,1,2,60
1911,8,15,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,2,36,
1912,9,6,Novarupta,Alaska Peninsula,United States,58.27,-155.157,841,Caldera,6,2,,
1912,12,3,Nyamulagira,Africa-C,"Congo, DRC",-1.408,29.2,3058,Shield volcano,3,20,,
1913,1,20,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,4,13,,
1913,5,29,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,1,1,1,
1913,12,6,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,3,21,,
1914,1,12,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,4,63,112,2268
1914,9,10,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,,11,,
1914,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,,100,,
1917,4,1,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,1,2,3,
1917,6,7,San Salvador,El Salvador,El Salvador,13.734,-89.294,1893,Stratovolcano,3,325,,
1919,5,19,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,4,5110,,9000
1919,5,22,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,3,4,,10
1919,7,6,Nasudake,Honshu-Japan,Japan,37.125,139.963,1915,Stratovolcano,,2,,
1920,7,25,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,33,,
1921,11,26,Nasudake,Honshu-Japan,Japan,37.125,139.963,1915,Stratovolcano,,1,,
1923,3,11,Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,1,1,,
1923,6,,Tangkuban Parahu,Java,Indonesia,-6.77,107.6,2084,Stratovolcano,,3,,
1923,7,1,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,2,1,,
1924,5,10,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,2,1,,
1926,5,24,Tokachidake,Hokkaido-Japan,Japan,43.418,142.686,2077,Stratovolcano,3,144,207,5080
1927,9,5,Esjufjoll,Iceland-SE,Iceland,64.25,-16.583,1620,Stratovolcano,1,1,,
1928,1,23,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,2,48,,
1928,5,13,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,2,40,,
1928,8,4,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,226,200,
1928,11,2,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1,5,,
1929,6,17,Hokkaido-Komagatake,Hokkaido-Japan,Japan,42.063,140.677,1131,Stratovolcano,4,2,4,1915
1929,8,2,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2,2,,
1929,11,2,Santa Maria,Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,3,200,,
1930,8,20,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,3,6,,
1930,9,11,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,3,6,20,
1930,12,18,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,1369,,1109
1931,8,20,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,3,3,,
1932,10,1,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,3,2,7,
1933,5,10,Hakoneyama,Honshu-Japan,Japan,35.233,139.021,1438,Complex volcano,,1,,
1933,12,24,Kuchinoerabujima,Ryukyu Is,Japan,30.443,130.217,657,Stratovolcano,4,8,26,
1934,,,Hood,US-Oregon,United States,45.374,-121.695,3426,Stratovolcano,,1,,
1936,7,29,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,3,2,,
1936,8,14,Dona Juana,Colombia,Colombia,1.5,-76.936,4137,Stratovolcano,,18,,
1937,2,9,Llaima,Chile-C,Chile,-38.692,-71.729,3125,Stratovolcano,2,3,,
1937,5,29,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,4,507,,
1938,5,9,Bandaisan,Honshu-Japan,Japan,37.601,140.072,1816,Stratovolcano,,2,,
1939,8,17,Izu-Torishima,Izu Is-Japan,Japan,30.484,140.303,394,Stratovolcano,2,2,,
1939,10,13,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,1,10,,
1940,6,20,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,2,1,2,
1940,7,12,Miyakejima,Izu Is-Japan,Japan,34.094,139.526,775,Stratovolcano,2,11,20,24
1941,7,13,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,1,1,
1943,2,20,Michoacan-Guanajuato,Mexico,Mexico,19.85,-101.75,3860,Cinder cone,4,103,,
1943,4,13,"Azul, Cerro",Galapagos,Ecuador,-0.92,-91.408,1640,Shield volcano,3,1,,
1944,3,27,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,2,27,,
1944,6,10,Cleveland,Aleutian Is,United States,52.825,-169.944,1730,Stratovolcano,3,1,,
1944,7,11,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,,1,,
1944,8,26,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,2,1,,1
1944,12,4,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,2,117,250,
1944,12,28,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,2,1,,
1946,1,,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,2,1,,
1946,2,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,6,,81
1947,8,14,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,11,,
1947,9,16,Akagisan,Honshu-Japan,Japan,36.56,139.193,1828,Stratovolcano,,699,,
1947,11,2,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,4,1,,
1949,1,1,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,3,54,,
1949,5,26,Purace,Colombia,Colombia,2.32,-76.4,4650,Stratovolcano,2,17,,
1949,6,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,2,,
1950,8,28,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,1,6,,
1950,9,15,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,68,,
1950,9,23,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,1,1,
1951,1,21,Lamington,New Guinea,Papua New Guinea,-8.95,148.15,1680,Stratovolcano,4,2942,,
1951,8,31,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,7,,
1951,11,5,Hakoneyama,Honshu-Japan,Japan,35.233,139.021,1438,Complex volcano,,2,,
1951,12,4,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,500,,
1952,3,27,Hakoneyama,Honshu-Japan,Japan,35.233,139.021,1438,Complex volcano,,1,,
1952,9,24,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,31,,
1952,,,Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,2329,Compound volcano,1,12,,
1953,3,23,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,64,57,144
1953,4,27,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,6,,
1953,6,,Sirung,Lesser Sunda Is,Indonesia,-8.508,124.13,862,Complex volcano,0,5,1,
1953,7,26,Hakoneyama,Honshu-Japan,Japan,35.233,139.021,1438,Complex volcano,,10,,
1953,10,5,Izu-Oshima,Izu Is-Japan,Japan,34.724,139.394,746,Stratovolcano,1,1,,
1953,12,24,Ruapehu,New Zealand,New Zealand,-39.28,175.57,2797,Stratovolcano,,151,,
1954,7,21,Midagahara,Honshu-Japan,Japan,36.571,137.59,2621,Stratovolcano,,1,,
1954,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,,2,,
1955,7,26,Carran-Los Venados,Chile-C,Chile,-40.35,-72.07,1114,Pyroclastic cone,4,2,,
1957,7,,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,,13,,
1957,10,13,Izu-Oshima,Izu Is-Japan,Japan,34.724,139.394,746,Stratovolcano,2,1,53,
1957,10,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,12,,
1958,7,12,Mahawu,Sulawesi-Indonesia,Indonesia,1.352,124.865,1299,Stratovolcano,2,1,10,
1958,7,21,Taisetsuzan,Hokkaido-Japan,Japan,43.664,142.854,2291,Stratovolcano,,2,,
1961,4,23,Midagahara,Honshu-Japan,Japan,36.571,137.59,2621,Stratovolcano,,1,,
1961,5,8,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,6,6,
1961,6,18,Taisetsuzan,Hokkaido-Japan,Japan,43.664,142.854,2291,Stratovolcano,,2,,
1961,8,18,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,1,,
1962,6,29,Tokachidake,Hokkaido-Japan,Japan,43.418,142.686,2077,Stratovolcano,3,5,11,
1962,10,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,2,,
1962,12,31,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,2,5,5,
1963,3,17,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3436,Stratovolcano,3,15,,
1963,3,18,Agung,Lesser Sunda Is,Indonesia,-8.343,115.508,2997,Stratovolcano,5,1028,624,
1963,5,5,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,1,,
1963,5,16,Agung,Lesser Sunda Is,Indonesia,-8.343,115.508,2997,Stratovolcano,3,120,,
1963,9,5,Batur,Lesser Sunda Is,Indonesia,-8.242,115.375,1717,Caldera,2,2,,
1963,9,28,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,7,,
1963,12,10,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3436,Stratovolcano,3,40,,400
1964,1,1,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,2,1,3,
1964,3,3,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,25,,
1964,12,13,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,1,114,,
1965,9,28,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,355,,
1966,4,26,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,4,215,86,
1966,8,12,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,4,39,1000,
1967,8,31,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,3,,
1967,11,4,Midagahara,Honshu-Japan,Japan,36.571,137.59,2621,Stratovolcano,,2,,
1968,4,21,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,6,,
1968,7,29,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,80,,
